speciality,job_count,pay_range,competition,payment_status,duration,client_spent,skills
Data Processing,835,"(0.0, 200.0)",8233,1.0,18,105057277.82999986,"['Data Entry', 'Google Sheets', 'Microsoft Excel', 'Python', 'Visual Basic for Applications', 'SQL', 'Data Processing', 'Apache Kafka', 'Databricks Platform', 'Data Annotation', 'Data Labeling', 'Data Cleaning', 'Data Segmentation', 'R', 'Apache Airflow', 'Apache Spark']"
Data Mining,2233,"(0.0, 625.0)",20041,1.0,20,223238177.90999994,"['Data Entry', 'Lead Generation', 'Microsoft Excel', 'Data Scraping', 'Python', 'List Building', 'Data Mining', 'SQL', 'Tableau', 'Selenium', 'Microsoft Power BI', 'pandas', 'R', 'Beautiful Soup', 'Scrapy', 'Online Research', 'Python Scikit-Learn', 'NumPy']"
Business Applications Development,2379,"(0.0, 999.0)",22611,1.0,20,206598435.3300005,"['Office 365', 'Education', 'JavaScript', 'CSS', 'Java', 'PHP', 'Python', 'Business with 10-99 Employees', 'Business with 1-9 Employees', 'Finance & Accounting', 'Aerospace', 'C#', 'Religious, Charitable & Nonprofit', 'Food & Beverage', 'Tech & IT', 'Retail & Consumer Goods', 'SQL', 'Dashboard', 'Health & Wellness', 'Salesforce CRM', '.NET Framework', 'HR & Business Services', 'Manufacturing & Construction', 'Real Estate', 'HubSpot', 'Sales & Marketing', 'Media & Entertainment', 'HTML5', 'Energy & Utilities', 'Sports & Recreation', 'CRM Software', 'Fashion & Beauty', 'Business with 100-999 Employees', 'Legal', 'Salesforce Einstein', 'Automated Workflow', 'Business with 1000+ Employees', 'Microsoft SharePoint', 'Engineering & Architecture', 'ERP Software', 'Pardot', 'Salesforce Marketing Cloud', 'Zoho Platform', 'SAP ERP', 'CRM Development', 'Oracle NetSuite', 'Microsoft Dynamics 365', 'ServiceNow', 'Business Applications Development', 'jQuery', 'Salesforce Sales Cloud', 'Marketo', 'Science & Medicine', 'Business Applications Consultation', 'Software Integration', 'Custom App', 'Customer Portal', 'Marketing Automation Software', 'Automotive', 'Transportation & Warehousing', 'Demand Planning']"
Systems Engineering,1319,"(0.0, 250.0)",12115,1.0,22,147677525.3299998,"['Office 365', 'Education', 'Java', 'Python', 'Business with 10-99 Employees', 'Business with 1-9 Employees', 'Finance & Accounting', 'Aerospace', 'Religious, Charitable & Nonprofit', 'Food & Beverage', 'Tech & IT', 'Retail & Consumer Goods', 'Health & Wellness', 'Microsoft Active Directory', 'Windows Server', 'Manufacturing & Construction', 'Real Estate', 'Amazon Web Services', 'Docker', 'Kubernetes', 'Linux', 'Media & Entertainment', 'Energy & Utilities', 'Sports & Recreation', 'Travel & Hospitality', 'Microsoft Azure', 'Fashion & Beauty', 'Google Cloud Platform', 'Business with 100-999 Employees', 'Legal', 'Ansible', 'NGINX', 'Ubuntu', 'Microsoft Windows PowerShell', 'Business with 1000+ Employees', 'Engineering & Architecture', 'Microsoft Windows', 'Terraform', 'Apache HTTP Server', 'macOS', 'Science & Medicine', 'Computer Systems Engineering', 'Information Systems Engineering', 'Systems Engineering', 'Automotive', 'Microsoft Exchange Server', 'Transportation & Warehousing']"
IT Compliance,43,"(0.0, 90.0)",482,1.0,28,6376923.529999999,"['HIPAA', 'IT Compliance Audit', 'SaaS', 'Federal Information Security Management Act of 2002', 'FedRAMP', 'SOC 2 Report', 'Computer Network', 'Compliance Consultation', 'Risk Assessment', 'ISO 27001']"
Systems Administration,705,"(0.0, 200.0)",7027,1.0,18,80108005.18999998,"['Office 365', 'Python', 'Business with 10-99 Employees', 'Business with 1-9 Employees', 'Microsoft Active Directory', 'Windows Server', 'System Administration', 'Amazon Web Services', 'Linux', 'Microsoft Azure', 'Google Cloud Platform', 'Business with 100-999 Employees', 'Salesforce', 'NGINX', 'Ubuntu', 'Microsoft Windows PowerShell', 'Business with 1000+ Employees', 'Microsoft Windows', 'Apache HTTP Server', 'DNS', 'Security Management', 'System Monitoring', 'macOS', 'Server Virtualization', 'Microsoft Exchange Server']"
Cloud Engineering,1398,"(0.0, 999.0)",12667,1.0,23,150783753.74999994,"['Office 365', 'Education', 'Java', 'Python', 'Business with 10-99 Employees', 'Business with 1-9 Employees', 'Finance & Accounting', 'Aerospace', 'MySQL', 'Art & Design', 'Religious, Charitable & Nonprofit', 'Food & Beverage', 'Tech & IT', 'Retail & Consumer Goods', 'Salesforce CRM', '.NET Framework', 'Google Apps Script', 'Manufacturing & Construction', 'Real Estate', 'Amazon Web Services', 'MongoDB', 'Linux', 'SaaS', 'Sales & Marketing', 'Computer Network', 'Media & Entertainment', 'Energy & Utilities', 'Sports & Recreation', 'Microsoft Azure', 'Ruby on Rails', 'Fashion & Beauty', 'Amusement & Gambling', 'Google Cloud Platform', 'Business with 100-999 Employees', 'Cloud Architecture', 'Cloud Engineering', 'Cloud Testing', 'Business with 1000+ Employees', 'Apache Airflow', 'AWS Glue', 'Engineering & Architecture', 'AWS Amplify', 'Zoho Platform', 'SAP', 'Azure DevOps', 'Oracle NetSuite', 'Heroku', 'Ruby', 'Microsoft Dynamics 365', 'DigitalOcean', 'Science & Medicine', 'Cloud Implementation', 'Automotive', 'Cloud Management', 'Transportation & Warehousing']"
Solution Architecture,2032,"(0.0, 250.0)",19586,1.0,20,177545663.45,"['Office 365', 'Education', 'JavaScript', 'Java', 'PHP', 'Python', 'Business with 10-99 Employees', 'Finance & Accounting', 'Business with 1-9 Employees', 'Aerospace', 'C#', 'Religious, Charitable & Nonprofit', 'Food & Beverage', 'Tech & IT', 'Retail & Consumer Goods', 'Node.js', 'SQL', 'Health & Wellness', 'Manufacturing & Construction', 'Real Estate', 'Amazon Web Services', 'Media & Entertainment', 'Energy & Utilities', 'Sports & Recreation', 'Nonprofit Organization', 'Microsoft Azure', 'Fashion & Beauty', 'Amusement & Gambling', 'Google Cloud Platform', 'Business with 100-999 Employees', 'Salesforce', 'Legal', 'Business with 1000+ Employees', 'Military & Defense', 'Microsoft SharePoint', 'Engineering & Architecture', 'Elasticsearch', 'SAP', 'Oracle NetSuite', 'Microsoft Dynamics 365', 'Cloud Computing', 'Implementation', 'Solution Architecture Consultation', 'RESTful Architecture', 'Science & Medicine', 'Apex', 'Web Service', 'Aviation', 'Transportation & Warehousing']"
Scripting & Automation,2102,"(0.0, 200.0)",22091,1.0,16,188488925.5500001,"['Google Workspace', 'Google Sheets', 'Microsoft Excel', 'API Integration', 'Data Scraping', 'JavaScript', 'PHP', 'Python', 'Visual Basic for Applications', 'Automation', 'Make.com', 'Google Docs', 'Data Extraction', 'Data Mining', 'Node.js', 'Dashboard', 'Salesforce CRM', 'Google Apps Script', 'Microsoft Power Automate', 'Pine Script', 'TradingView', 'Scripting', 'Zapier', 'Google Sheets Automation', 'Selenium', 'TypeScript', 'n8n', 'Business Process Automation', 'AI Builder', 'Web Crawling', 'Web Application Development', 'R', 'UiPath', 'Microsoft Windows PowerShell', 'Beautiful Soup', 'Scrapy', 'AI Trading', 'Oracle NetSuite', 'Task Automation', 'Ruby', 'MetaTrader 4', 'Forex Trading', 'jQuery', 'Robotic Process Automation', 'NinjaTrader', 'Trading Automation', 'MetaTrader 5', 'Spreadsheet Automation', 'Lua']"
Product Management,1074,"(0.0, 200.0)",9876,1.0,22,152513646.63999993,"['Market Research', 'Project Management', 'Google Analytics', 'Microsoft Excel', 'Business with 10-99 Employees', 'Business with 1-9 Employees', 'Data Analysis', 'SQL', 'Product Backlog', 'Product Roadmap', 'Product Management', 'Go-to-Market Strategy', 'Wireframing', 'Prototyping', 'Usability Testing', 'Software Development', 'UX & UI', 'Product Development', 'Quality Assurance', 'Product Design', 'Business with 100-999 Employees', 'Status Reports', 'Functional Prototype', 'Jira', 'Business with 1000+ Employees', 'Implementation Plan', 'Agile Project Management', 'Asana', 'AI Product Management', 'Kanban Methodology', 'Trello', 'GitLab', 'Stakeholder Management', 'Requirements Specification', 'Design Thinking', 'Waterfall', 'Demo Presentation', 'Lean Development', 'Scrum', 'Mixpanel']"
Scrum Leadership,348,"(0.0, 200.0)",2946,1.0,24,70778945.66999996,"['Project Management', 'Microsoft Excel', 'Business with 10-99 Employees', 'Business with 1-9 Employees', 'Business Analysis', 'Quality Assurance', 'Business with 100-999 Employees', 'Jira', 'Business with 1000+ Employees', 'Agile Project Management', 'Microsoft Project', 'Asana', 'Trello', 'GitLab', 'Scrum', 'Coaching']"
Information Security,241,"(0.0, 200.0)",2093,1.0,25,23098930.959999986,"['Information Security', 'Business with 10-99 Employees', 'Business with 1-9 Employees', 'Penetration Testing', 'Vulnerability Assessment', 'Encryption', 'Network Security', 'Firewall', 'VPN', 'Kali Linux', 'Application Security', 'Business with 100-999 Employees', 'Information Security Consultation', 'Business with 1000+ Employees', 'Cybersecurity Management', 'Incident Response Plan', 'Database Security', 'Security Assessment & Testing', 'Security Policies & Procedures Documentation', 'Security Testing', 'AI Security', 'System Security', 'Nessus']"
Mobile Design,1148,"(0.0, 150.0)",12059,1.0,19,85302029.21999976,"['Search Engine Optimization', 'Android', 'iOS', 'Figma', 'Email Design', 'Wireframing', 'Mockup', 'Usability Testing', 'Canva', 'Adobe Illustrator', 'Adobe Photoshop', 'Landing Page', 'Visual Communication', 'Fluid UI', 'Mobile App Design', 'Competitive Analysis', 'Sketch', 'Framer', 'Mobile UI Design', 'User Flow', 'Responsive Design', 'Website Redesign', 'Webflow', 'App Development', 'Interaction Design', 'UI/UX Prototyping', 'Style Guide', 'Information Architecture', 'Journey Mapping', 'UX Research', 'High Fidelity Design', 'Microsoft Windows', 'Hybrid App', 'Mobile App', 'Icon Design', 'User Experience Strategy', 'Miro', 'Adobe XD', 'Web Component Design', 'iPadOS', 'Heuristic Evaluation', 'Zeplin']"
Web Design,3765,"(0.0, 315.0)",40110,1.0,18,264657844.13000163,"['Search Engine Optimization', 'WordPress', 'Squarespace', 'Website', 'Web Design', 'Web Development', 'WooCommerce', 'JavaScript', 'CSS', 'HTML', 'PHP', 'Figma', 'Mockup', 'User Interface Design', 'Prototyping', 'Wireframing', 'Usability Testing', 'Canva', 'Adobe Illustrator', 'Adobe Photoshop', 'Landing Page', 'User Experience Design', 'Wix', 'Adaptive Web Design', 'UX & UI', 'HTML5', 'Visual Communication', 'Shopify', 'Fluid UI', 'Advanced Custom Fields Plugin', 'All in One SEO', 'PayPal Plugin', 'Twitter/X Plugin', 'Vimeo Plugin', 'CSS 3', 'Competitive Analysis', 'Sketch', 'Framer', 'User Flow', 'User Experience', 'Elementor', 'Yoast SEO', 'Responsive Design', 'Kajabi', 'Website Redesign', 'Landing Page Optimization', 'Webflow', 'Website Customization', 'Sharetribe', 'Interaction Design', 'UI/UX Prototyping', 'Web & Mobile Design Consultation', 'Microsoft SharePoint', 'GoDaddy', 'Style Guide', 'Mailchimp Plugin', 'Facebook Plugin', 'Google AdSense Plugin', 'High Fidelity Design', 'Information Architecture', 'Journey Mapping', 'Sales Funnel', 'Icon Design', 'Theme Customization', 'WordPress Landing Page', 'User Experience Strategy', 'Miro', 'Contao', 'Divi', 'Adobe XD', 'Web Component Design', 'Magento', 'Heuristic Evaluation', 'Avada Theme Customization', 'Custom Web Design', 'Craft CMS', 'AWeber', 'Instagram Plugin', 'WeWeb', 'Thrive Themes', 'Sass', 'Gravity Forms', 'Moodle', 'LearnDash', 'Unbounce', 'Drupal', 'Joomla', 'Zeplin', 'Contact Form 7']"
Full Stack Development,4436,"(0.0, 315.0)",46536,1.0,18,293693212.92999977,"['Search Engine Optimization', 'PyTorch', 'LangChain', 'Google Analytics', 'WordPress', 'Web Development', 'API Integration', 'Ecommerce Website', 'JavaScript', 'CSS', 'HTML', 'Java', 'PHP', 'Python', 'C#', 'Laravel', 'MySQL', 'C++', 'Web Application', 'Database Development', 'TensorFlow', 'OpenCV', 'React', 'Node.js', 'Tailwind CSS', 'SQL', 'Rust', 'API Development', '.NET Framework', 'AngularJS', 'ASP.NET', 'RESTful API', 'Amazon Web Services', 'Amazon EC2', 'Docker', 'Kubernetes', 'MongoDB', 'PostgreSQL', 'Adobe Photoshop', 'Database Architecture', 'ChatGPT', 'SaaS', 'TypeScript', 'XML', 'AI Agent Development', 'SQLite', 'Dart', 'Full-Stack Development', 'GraphQL', 'HTML5', 'CSS 3', 'Microsoft SQL Server', 'WordPress Plugin', 'Microsoft Azure', 'AI App Development', 'AI Development', 'Google Chrome Extension', 'Angular', 'Ruby on Rails', 'Django', 'AI Model Integration', 'Transact-SQL', 'DevOps', 'Google Cloud Platform', 'Twilio API', 'Responsive Design', 'Website Redesign', 'Next.js', 'Ansible', 'Spring Boot', 'pandas', 'Git', 'Vue.js', 'Nuxt.js', 'Vuetify', 'Golang', 'Distributed Ledger Technology', 'Microsoft Access', 'GitHub', 'NGINX', 'Neo4j', 'AI Bot', 'OpenAI API', 'Scrapy', 'AWS Lambda', 'ExpressJS', 'AWS Amplify', 'CodeIgniter', 'Odoo', 'Elasticsearch', 'Agile Software Development', 'Three.js', 'Kotlin', 'Gemini for Google Workspace', 'Firebase Realtime Database', 'Azure DevOps', 'GPT-4', 'Odoo Development', 'Software Debugging', 'Jenkins', 'Ruby', 'Apache HTTP Server', 'Payment Gateway Integration', 'Desktop Application', 'Firebase Cloud Firestore', 'Flask', 'JSON', 'Website Optimization', 'Database Management', 'Elixir', 'lighttpd', 'Cloudflare', 'Apache Spark', 'Vercel', 'Redis', 'Realm Database', 'Facebook JavaScript', 'ASP.NET MVC', 'jQuery', 'Bootstrap', 'AJAX', 'MariaDB', 'Apache Maven', 'NestJS', 'GitLab', 'AI-Generated Code', 'Custom PHP', 'Spring Framework', 'RESTful Architecture', 'Redux', 'Chatbot', 'Browser Extension', 'Kendo UI', 'Claris FileMaker', 'ASP.NET Core', 'GPT API', 'ChatGPT API Integration', 'Platform Plugin', 'SAP HANA', 'LevelDB', 'Apache Geronimo', 'Oracle Database', 'HTTP', 'Microservice', 'Delphi', 'Twig', 'Erlang', 'Sass', 'React Bootstrap', 'Python Scikit-Learn', 'WebGL', 'Drupal', 'Joomla', 'Keras', 'OpenAI Codex Prompt', 'D3.js', 'NumPy']"
Generative AI Modeling,1348,"(0.0, 200.0)",14435,1.0,16,102142967.20999968,"['AI Model Development', 'AI Chatbot', 'AI Content Creation', 'Image Analysis', 'PyTorch', 'Auto-GPT', 'Azure OpenAI Service', 'Hugging Face', 'LangChain', 'Multimodal Large Language Model', 'JavaScript', 'Java', 'Python', 'Image Recognition', 'C++', 'TensorFlow', 'React', 'Rust', 'Adobe Photoshop', 'AI Content Writing', 'ChatGPT', 'Generative AI', 'Wix', 'Microsoft 365 Copilot', 'Prompt Engineering', 'Claude', 'Gemini', 'Framer', 'AI Model Integration', 'Swift', 'AI Mobile App Development', 'Natural Language Processing', 'Object Detection', 'Image Processing', 'Transformer Model', 'Whisper AI', 'R', 'Golang', 'Chatbot Development', 'Natural Language Generation', 'Streamlit', 'Gemini for Google Workspace', 'Claude 3.5 Sonnet', 'Large Language Model', 'ElevenLabs', 'GPT-4', 'Amazon SageMaker', 'AI Model Training', 'Hyperparameter Tuning', 'Model Deployment', 'Model Monitoring', 'Julia', 'Replit', 'Generative AI Prompt Engineering', 'AI-Generated Code', 'AI Audio Generation', 'Rasa', 'Model Tuning', 'LLM Prompt Engineering', 'Agent GPT', 'ChatGPT API Integration', 'Llama 3', 'AI Content Editing', 'AI Video Generation', 'MATLAB', 'Midjourney AI', 'OpenAI Embeddings', 'DALL-E', 'Data Augmentation', 'Keras', 'LLaMA']"
Deep Learning,553,"(0.0, 200.0)",5998,1.0,14,53520136.72999996,"['AI Model Development', 'PyTorch', 'Java', 'Python', 'C++', 'Deep Learning', 'TensorFlow', 'OpenCV', 'Computer Vision', 'Artificial Neural Network', 'AI Development', 'Natural Language Processing', 'Image Processing', 'Data Science Consultation', 'R', 'Salesforce Einstein', 'Natural Language Generation', 'Reinforcement Learning', 'Amazon SageMaker', 'AI Model Training', 'Deep Learning Modeling', 'Hyperparameter Tuning', 'Model Deployment', 'Model Monitoring', 'Long Short-Term Memory Network', 'Flask', 'deeplearn.js', 'Unsupervised Learning', 'Vertex AI', 'Neural Network', 'Chatbot', 'Model Tuning', 'MATLAB', 'Keras', 'Matplotlib']"
Machine Learning,897,"(0.0, 200.0)",9716,1.0,15,75565022.26999997,"['PyTorch', 'AI Model Development', 'Image Analysis', 'Java', 'Python', 'Image Recognition', 'C++', 'Computer Vision', 'Deep Learning', 'TensorFlow', 'OpenCV', 'Machine Learning', 'Tableau', 'SQL', 'Looker Studio', 'AI Agent Development', 'ArcGIS', 'Databricks Platform', 'AI App Development', 'AI Development', 'Predictive Model', 'AI Model Integration', 'AI Builder', 'Natural Language Processing', 'Feature Extraction', 'Data Science', 'Image Processing', 'Object Detection', 'Transformer Model', 'pandas', 'Data Preprocessing', 'Data Science Consultation', 'R', 'Natural Language Generation', 'MLOps', 'AI Bot', 'Scrapy', 'Reinforcement Learning', 'Machine Learning Algorithm', 'AI Trading', 'Streamlit', 'Amazon SageMaker', 'AIOps', 'Hyperparameter Tuning', 'AI Model Training', 'Model Deployment', 'Model Monitoring', 'ML Automation', 'Flask', 'Bayesian Statistics', 'K-Means Clustering', 'Support Vector Machine', 'Unsupervised Learning', 'deeplearn.js', 'AI Product Management', 'Apache Spark', 'Time Series Analysis', 'Time Series Forecasting', 'Machine Learning Model', 'Vertex AI', 'Chatbot', 'Model Tuning', 'MATLAB', 'OpenAI Embeddings', 'Data Augmentation', 'Python Scikit-Learn', 'XGBoost', 'Keras', 'Vector Embedding', 'Matplotlib', 'NumPy']"
AI Chatbot Development,724,"(0.0, 200.0)",7737,1.0,15,58404622.819999985,"['PyTorch', 'AI Chatbot', 'Java', 'PHP', 'Python', 'C++', 'TensorFlow', 'ChatGPT', 'Natural Language Processing', 'ManyChat', 'Chatbot Development', 'Natural Language Generation', 'Finance & Banking Chatbot', 'Scheduling & Assisting Chatbot', 'Social Media Chatbot', 'Dialogflow', 'GPT-4', 'Ruby', 'Rasa', 'Chatbot Training', 'Chatbot Tuning', 'Chatbot Integration', 'Pinecone']"
AI Integration,1421,"(0.0, 200.0)",14970,1.0,16,92117525.97999986,"['Azure OpenAI Service', 'API Integration', 'JavaScript', 'Java', 'PHP', 'Python', 'C#', 'C++', 'Node.js', 'RESTful API', 'XML', 'AI Model Integration', 'REST API', 'OpenAI API', 'Integration Testing', 'API Testing', 'ChatGPT API', 'Whisper API', 'Ruby', 'Application Integration', 'GPT API', 'ChatGPT API Integration', 'Chatbot Integration', 'Amazon Bedrock', 'Website Integration']"
Back-End Development,1935,"(0.0, 200.0)",20520,1.0,18,160637096.02000004,"['PyTorch', 'Google Analytics', 'API Integration', 'Java', 'PHP', 'Python', 'C#', 'MySQL', 'Laravel', 'C++', 'TensorFlow', 'OpenCV', 'Software Architecture & Design', 'SQL', 'Rust', 'API', 'Back-End Development', 'API Development', '.NET Framework', 'ASP.NET', 'RESTful API', 'MongoDB', 'PostgreSQL', 'Amazon Web Services', 'Docker', 'Kubernetes', 'Database Architecture', 'SaaS', 'TypeScript', 'XML', 'Dart', 'SQLite', 'GraphQL', 'Microsoft SQL Server', 'Apache Kafka', 'Database Design', 'Ruby on Rails', 'Django', 'Transact-SQL', 'Twilio API', 'REST API', 'Database', 'Ansible', 'Spring Boot', 'pandas', 'Git', 'Golang', 'Microsoft Access', 'GitHub', 'NGINX', 'Neo4j', 'OpenAI API', 'Scrapy', 'Apache Airflow', 'AWS Lambda', 'AWS Amplify', 'CodeIgniter', 'Odoo', 'Elasticsearch', 'Kotlin', 'Firebase Realtime Database', 'Azure DevOps', 'Jenkins', 'Ruby', 'Apache HTTP Server', 'Firebase Cloud Firestore', 'Flask', 'PHP Script', 'Elixir', 'lighttpd', 'Cloudflare', 'Apache Spark', 'Redis', 'Realm Database', 'ASP.NET MVC', 'MariaDB', 'Apache Maven', 'GitLab', 'Spring Framework', 'RESTful Architecture', 'Requirements Specification', 'ASP.NET Core', 'Database Maintenance', 'LevelDB', 'Apache Geronimo', 'Oracle Database', 'Web Service', 'HTTP', 'Microservice', 'Delphi', 'Twig', 'Erlang', 'Python Scikit-Learn', 'Python Script', 'Drupal', 'Joomla', 'Keras', 'NumPy']"
Data Analytics,1123,"(0.0, 200.0)",11512,1.0,19,123452252.08,"['Google Analytics', 'Google Sheets', 'Microsoft Excel', 'Growth Analytics', 'A/B Testing', 'Python', 'Visual Basic for Applications', 'Data Visualization', 'Google Tag Manager', 'Data Analysis', 'SQL', 'Dashboard', 'Query Development', 'Marketing Analytics', 'Business Intelligence', 'BigQuery', 'Looker', 'Tableau', 'Looker Studio', 'Data Analytics', 'Data Transformation', 'Data Analysis Consultation', 'Predictive Model', 'Operations Analytics', 'Microsoft Power BI', 'Oracle Analytics Cloud', 'BIRT', 'SAP Crystal Reports', 'Data Science', 'R', 'Statistics', 'Zoho Analytics', 'Big Data', 'Analytical Presentation', 'Domo', 'Qlik Sense', 'QlikView', 'Sales Analytics', 'Power Query', 'Snowflake', 'Time Series Analysis', 'Customer Service Analytics', 'Report', 'Product Analytics', 'Hypothesis Testing', 'Funnel Testing', 'Exploratory Data Analysis']"
Experimentation & Testing,334,"(0.0, 160.0)",3355,1.0,22,30759404.320000026,"['Google Analytics', 'A/B Testing', 'Google Tag Manager', 'Test Case Design', 'Conversion Rate Optimization', 'Hypothesis Testing', 'Funnel Testing', 'Multivariate Testing', 'Unbounce', 'Adobe Target', 'Mixpanel', 'Leadpages']"
