speciality,job_count,pay_range,competition,payment_status,duration,client_spent,skills
DevOps Engineering,1433,"(0.0, 250.0)",13137,1.0,22,149614282.90999985,"['Education', 'Java', 'Python', 'Business with 10-99 Employees', 'Business with 1-9 Employees', 'Finance & Accounting', 'Aerospace', 'Religious, Charitable & Nonprofit', 'Food & Beverage', 'Tech & IT', 'Retail & Consumer Goods', 'Supply Chain & Logistics', 'Node.js', 'Health & Wellness', 'HR & Business Services', 'Manufacturing & Construction', 'Real Estate', 'Docker', 'Kubernetes', 'Linux', 'CI/CD', 'MongoDB', 'Amazon Web Services', 'Media & Entertainment', 'Energy & Utilities', 'Sports & Recreation', 'Nonprofit Organization', 'Microsoft Azure', 'Fashion & Beauty', 'Google Cloud Platform', 'Business with 100-999 Employees', 'Legal', 'Ansible', 'Git', 'Deployment Automation', 'Ubuntu', 'Microsoft Windows PowerShell', 'DevOps Engineering', 'System Automation', 'Business with 1000+ Employees', 'Military & Defense', 'Apache Airflow', 'AWS Glue', 'Engineering & Architecture', 'Application Release Automation', 'Microsoft Windows', 'Jenkins', 'Terraform', 'AIOps', 'macOS', 'Amazon ECS', 'Automotive', 'Automated Monitoring', 'Containerization', 'Transportation & Warehousing']"
Ecommerce Website Development,3304,"(0.0, 315.0)",35267,1.0,17,221979831.5500004,"['WordPress', 'Squarespace', 'Web Design', 'API Integration', 'WooCommerce', 'Ecommerce Website', 'JavaScript', 'CSS', 'HTML', 'Java', 'PHP', 'Python', 'Laravel', 'MySQL', 'React', 'Node.js', 'AngularJS', 'ASP.NET', 'Stripe', 'Square', 'MongoDB', 'PostgreSQL', 'Landing Page', 'SQLite', 'Wix', 'HTML5', 'Shopify', 'ClickFunnels', 'CSS 3', 'Microsoft SQL Server', 'WordPress Plugin', 'Angular', 'Ruby on Rails', 'Elementor', 'Responsive Design', 'Shopify Development', 'Webflow', 'Website Customization', 'Vue.js', 'App Development', 'PayPal', 'Microsoft Access', 'Design Enhancement', 'Shopify Templates', 'Website Migration', 'Neo4j', 'Recharge', 'Custom Ecommerce Platform Development', 'Firebase Realtime Database', 'Liquid', 'Ruby', 'Payment Gateway Integration', 'Firebase Cloud Firestore', 'Bug Fix', 'Theme Customization', 'Theme Development', 'Website Optimization', 'Redis', 'Realm Database', 'BigCommerce', 'jQuery', 'Bootstrap', 'Commerce Cloud', 'MariaDB', 'Ecommerce Backup & Migration', 'Divi', 'Magento', 'Platform Plugin', 'Authorize.Net', 'Page Speed Optimization', 'Shopify Plus', 'LevelDB', 'Ecommerce Storefront Design', 'Oracle Database', 'Ecommerce Development Consultation', 'Drupal', 'Joomla']"
Mobile App Development,2671,"(0.0, 200.0)",28190,1.0,16,162794105.43000016,"['Google Analytics', 'API Integration', 'JavaScript', 'Android', 'Java', 'PHP', 'Python', 'iOS', 'C#', 'Android App Development', 'iOS Development', 'Mobile App Development', 'Smartphone', 'Tablet', 'QR & Barcode Scanner', 'MySQL', 'Laravel', 'Flutter', 'Mapbox', 'C++', 'React', 'Node.js', 'AngularJS', 'Ionic Framework', 'MongoDB', 'PostgreSQL', 'Amazon Web Services', 'Chat & Messaging Software', 'TypeScript', 'SQLite', 'Dart', 'Hybrid App Development', 'User Authentication', 'Map Integration', 'GraphQL', 'HTML5', 'CSS 3', 'Virtual Reality', 'Microsoft SQL Server', 'C', 'Core Bluetooth', 'Angular', 'Mobile App Testing', 'Objective-C', 'Swift', 'Application Security', 'React Native', 'Twilio API', 'AI Mobile App Development', 'Bluetooth', 'Microsoft Access', 'GitHub', 'Firebase', 'UIKit', 'Neo4j', 'In-App Purchases', 'User Profile Creation', 'ARKit', 'OpenAI API', 'AWS Amplify', 'TV Set', 'Microsoft Windows', 'Kotlin', 'Native App Development', 'Camera', 'Firebase Realtime Database', 'iOS SDK', 'Ruby', 'Payment Gateway Integration', 'Social Media Account Integration', 'Firebase Cloud Firestore', 'Elixir', 'Apache Spark', 'Review or Feedback Collection', 'Redis', 'Realm Database', 'MariaDB', 'Personal Computer', 'Spring Framework', 'RESTful Architecture', 'Mobile App Development Consultation', 'Kendo UI', 'Claris FileMaker', 'iPadOS', 'Location-Based Service', 'WebRTC', 'Augmented Reality', 'LevelDB', 'Apple Xcode', 'Oracle Database', 'Appium', 'In-App Search', 'In-App Advertising', 'Gaming Console', 'Click-to-Call']"
Mobile Game Development,2645,"(0.0, 200.0)",27778,1.0,16,158935492.71000013,"['Google Analytics', 'API Integration', 'JavaScript', 'Android', 'Java', 'PHP', 'Python', 'iOS', 'C#', 'Android App Development', 'iOS Development', 'Mobile App Development', 'Smartphone', 'Tablet', 'QR & Barcode Scanner', 'Laravel', 'Flutter', 'Mapbox', 'MySQL', 'C++', 'React', 'Node.js', 'AngularJS', 'Ionic Framework', 'Amazon Web Services', 'MongoDB', 'PostgreSQL', 'Chat & Messaging Software', 'TypeScript', 'Dart', 'User Authentication', 'Map Integration', 'Hybrid App Development', 'SQLite', 'Unreal Engine', 'GraphQL', 'HTML5', 'CSS 3', 'Virtual Reality', 'Sports & Recreation', 'Microsoft SQL Server', 'C', 'Core Bluetooth', 'Angular', 'Godot', 'Objective-C', 'Swift', 'Application Security', 'React Native', 'Twilio API', 'Ages 3+', 'Bluetooth', 'GitHub', 'Firebase', 'UIKit', 'In-App Purchases', 'User Profile Creation', 'ARKit', 'OpenAI API', 'AWS Amplify', 'Unity', 'TV Set', 'Microsoft Windows', 'Kotlin', 'Native App Development', 'Camera', 'iOS SDK', 'Firebase Realtime Database', 'Ruby', 'Social Media Account Integration', 'Firebase Cloud Firestore', 'Elixir', 'Apache Spark', 'Review or Feedback Collection', 'Realm Database', 'Personal Computer', 'Puzzle', 'Spring Framework', 'RESTful Architecture', 'Kendo UI', 'iPadOS', 'Location-Based Service', 'WebRTC', 'Augmented Reality', 'LevelDB', 'Casual Game', 'Game Design Document', 'Game Development Bug Fix', 'Mobile Game', 'Apple Xcode', 'Roblox Studio', 'Appium', 'In-App Search', 'Performance Optimization', 'Online Multiplayer', 'In-App Advertising', 'Gaming Console', 'Click-to-Call', 'Game Prototype', 'Simulation Game']"
AR/VR Development,2521,"(0.0, 300.0)",25840,1.0,17,187639539.8800006,"['Education', 'Google Analytics', 'JavaScript', 'Android', 'Java', 'PHP', 'Python', 'iOS', 'C#', 'Android App Development', 'iOS Development', 'Mobile App Development', 'Laravel', 'Flutter', 'MySQL', 'C++', 'Retail & Consumer Goods', 'Supply Chain & Logistics', 'React', 'Node.js', 'Ionic Framework', 'Prototyping', 'Real Estate', 'MongoDB', 'PostgreSQL', 'Adobe Photoshop', 'TypeScript', 'Dart', 'SQLite', 'Explainer Video', 'SketchUp', 'Unreal Engine', 'Game Development', 'GraphQL', 'HTML5', 'CSS 3', 'Blender', 'Virtual Reality', 'Microsoft SQL Server', 'C', 'Marketing', 'Visualization', 'Angular', 'Objective-C', 'Swift', 'React Native', 'Firebase', 'ARKit', 'RealityKit', 'Unity', 'Microsoft Windows', 'Kotlin', 'Animation', 'Firebase Realtime Database', 'Mobile App', 'Ruby', 'Metaverse', 'Architecture & Interior Design', 'Firebase Cloud Firestore', 'Bug Fix', 'Training', 'Elixir', 'Realm Database', 'RESTful Architecture', 'iPadOS', 'Autodesk 3ds Max', 'Augmented Reality', 'VR Application', 'Game Design Document', 'Mobile Game', 'Healthcare', 'Manufacturing', 'Gaming']"
CMS Development,3023,"(0.0, 315.0)",31970,1.0,17,191494543.05000043,"['WordPress', 'Squarespace', 'Website', 'JavaScript', 'CSS', 'HTML', 'Ecommerce Website', 'WooCommerce', 'Java', 'PHP', 'Python', 'C#', 'MySQL', 'C++', 'SQL', 'Rust', 'API', 'MongoDB', 'PostgreSQL', 'Landing Page', 'TypeScript', 'Dart', 'SQLite', 'Wix', 'GraphQL', 'HTML5', 'Shopify', 'CSS 3', 'Advanced Custom Fields Plugin', 'All in One SEO', 'PayPal Plugin', 'Twitter/X Plugin', 'Vimeo Plugin', 'Microsoft SQL Server', 'WordPress Development', 'WordPress Plugin', 'Transact-SQL', 'Responsive Design', 'WordPress Customization', 'WordPress Installation', 'Elementor', 'Yoast SEO', 'Kajabi', 'Website Redesign', 'Webflow', 'CMS Development', 'Website Customization', 'Sharetribe', 'Golang', 'Microsoft Access', 'Website Migration', 'Neo4j', 'Microsoft SharePoint', 'GoDaddy', 'Mailchimp Plugin', 'Facebook Plugin', 'Google AdSense Plugin', 'WordPress SEO Plugin', 'Social Media Plugin', 'Kotlin', 'Firebase Realtime Database', 'Ruby', 'Firebase Cloud Firestore', 'Bug Fix', 'Theme Customization', 'Theme Development', 'Website Optimization', 'Elixir', 'Redis', 'Realm Database', 'PSD to WordPress', 'WordPress Optimization', 'WordPress Security', 'WordPress Theme', 'MariaDB', 'Contao', 'Divi', 'Magento', 'CMS Product Upload', 'Blog', 'Platform Plugin', 'Craft CMS', 'SEO Plugin', 'LevelDB', 'Plugin Customization', 'WordPress Bug Fix', 'WordPress Migration', 'AWeber', 'SEO-Based Website', 'Instagram Plugin', 'WeWeb', 'Oracle Database', 'Plugin Development', 'Analytics Plugin', 'Payment Plugin', 'Delphi', 'Thrive Themes', 'Erlang', 'Sass', 'Gravity Forms', 'Moodle', 'LearnDash', 'Unbounce', 'Drupal', 'Joomla', 'Contact Form 7']"
Front-End Development,2342,"(0.0, 315.0)",24561,1.0,18,171202055.33999974,"['Google Analytics', 'WordPress', 'Website', 'JavaScript', 'CSS', 'HTML', 'Ecommerce Website', 'Web Application', 'React', 'Node.js', 'Tailwind CSS', 'SQL', '.NET Framework', 'AngularJS', 'Amazon Web Services', 'Docker', 'Kubernetes', 'Adobe Photoshop', 'Landing Page', 'SaaS', 'TypeScript', 'XML', 'Front-End Development', 'HTML5', 'CSS 3', 'Google Chrome Extension', 'Angular', 'Responsive Design', 'Website Redesign', 'Next.js', 'Git', 'Vue.js', 'Nuxt.js', 'Vuetify', 'GitHub', 'ExpressJS', 'AWS Amplify', 'Agile Software Development', 'Three.js', 'Azure DevOps', 'Jenkins', 'UI Animation', 'JSON', 'Vercel', 'Facebook JavaScript', 'jQuery', 'Bootstrap', 'AJAX', 'GitLab', 'Redux', 'Browser Extension', 'Kendo UI', 'Blog', 'Page Speed Optimization', 'Sass', 'React Bootstrap', 'WebGL', 'D3.js']"
Data Visualization,1355,"(0.0, 200.0)",14385,1.0,16,118477485.98999994,"['Google Sheets', 'Microsoft Excel', 'API Integration', 'JavaScript', 'Java', 'Python', 'Data Visualization', 'Looker', 'Tableau', 'SQL', 'Business Intelligence', 'Dashboard', 'Looker Studio', 'Presentations', 'ArcGIS', 'Microsoft Power BI', 'BIRT', 'SAP Crystal Reports', 'R', 'Zoho Analytics', 'Kibana', 'Domo', 'QGIS', 'Digital Mapping', 'Qlik Sense', 'QlikView', 'Power Query', 'Microsoft Power BI Data Visualization', 'Talend Open Studio', 'Grafana', 'D3.js', 'Matplotlib']"
Coding Tutoring,2303,"(0.0, 315.0)",24484,1.0,16,142279344.46999946,"['Web Development', 'JavaScript', 'CSS', 'HTML', 'Java', 'PHP', 'Python', 'C#', 'C++', 'Machine Learning', 'Data Analysis', 'SQL', 'Rust', 'Scripting', 'ChatGPT', 'Software Development', 'TypeScript', 'C', 'AI Development', 'Swift', 'R', 'App Development', 'Golang', 'Algorithm Development', 'Kotlin', 'Software Debugging', 'Ruby', 'Sass', 'Data Structures']"
Prototyping,1163,"(0.0, 315.0)",12285,1.0,16,91844459.7499997,"['Web Design', 'Autodesk AutoCAD', '3D Modeling', 'Figma', 'Prototyping', 'User Interface Design', 'SolidWorks', 'Adobe Illustrator', 'Adobe Photoshop', 'User Experience Design', 'Adaptive Web Design', 'Game Design', 'Product Development', 'Mobile App Design', 'Blender', 'Sketch', '3D Printing', 'Product Design', 'Mechanical Design', 'Mobile UI Design', 'CAD', 'Responsive Design', 'Hardware Prototyping', 'Functional Prototype', 'Rapid Prototyping', 'Interaction Design', 'Software Design', 'UI/UX Prototyping', 'High Fidelity Design', 'Button Design', 'Electronic Design', 'Design Mockup', 'Adobe XD', 'Web Component Design', 'User-Centered Design', 'Injection Mold Design', 'Interactive Mockup', 'Zeplin', 'Game Prototype', 'Autodesk Fusion 360']"
UX/UI Design,1222,"(0.0, 315.0)",13198,1.0,19,124156828.20999971,"['Web Design', 'Figma', 'Email Design', 'Prototyping', 'Wireframing', 'User Interface Design', 'Mockup', 'Usability Testing', 'Canva', 'Adobe Illustrator', 'Adobe Photoshop', 'Landing Page', 'User Experience Design', 'Adaptive Web Design', 'UX & UI', 'Visual Communication', 'Fluid UI', 'Mobile App Design', 'Competitive Analysis', 'Sketch', 'Framer', 'Mobile UI Design', 'User Flow', 'Responsive Design', 'Website Redesign', 'Webflow', 'Design Enhancement', 'Interaction Design', 'Software Design', 'UI/UX Prototyping', 'Style Guide', 'Information Architecture', 'Journey Mapping', 'UX Research', 'High Fidelity Design', 'Mobile App', 'Button Design', 'GUI Design', 'Icon Design', 'Agile Project Management', 'UI Animation', 'Human-Centered Design', 'Design & Usability Research', 'Website Asset', 'Cross Browser & Device Compatibility', 'User Experience Strategy', 'Miro', 'Design Mockup', 'Home Page', 'Game UI/UX Design', 'Adobe XD', 'Web Component Design', 'Heuristic Evaluation', 'Custom Web Design', 'User-Centered Design', 'Interactive Mockup', 'Zeplin']"
Data Engineering,711,"(0.0, 200.0)",7379,1.0,16,86106069.12999988,"['Microsoft Excel', 'Java', 'Python', 'BigQuery', 'SQL', 'Docker', 'Kubernetes', 'Database Architecture', 'Apache Kafka', 'Databricks Platform', 'PySpark', 'Database Design', 'Data Engineering', 'Data Transformation', 'ETL Pipeline', 'Data Integration', 'Data Preprocessing', 'R', 'Apache Airflow', 'AWS Glue', 'Elasticsearch', 'Apache Spark', 'Snowflake', 'Data Migration', 'Talend Open Studio', 'Informatica', 'dbt']"
Automation Testing,2039,"(0.0, 200.0)",21183,1.0,17,178969192.66000012,"['Microsoft Excel', 'JavaScript', 'CSS', 'HTML', 'Java', 'PHP', 'Python', 'C#', 'MySQL', 'C++', 'SQL', 'Bug Tracking & Reports', 'Software QA', 'Test Execution', 'Test Management', 'Test Plan', 'Functional Testing', 'MongoDB', 'PostgreSQL', 'Docker', 'Kubernetes', 'Selenium', 'TypeScript', 'SQLite', 'Dart', 'GraphQL', 'HTML5', 'Quality Control', 'End-to-End Testing', 'CSS 3', 'Microsoft SQL Server', 'Mobile App Testing', 'Web Testing', 'Transact-SQL', 'Ansible', 'Automated Testing', 'Golang', 'Microsoft Access', 'Jira', 'Kotlin', 'API Testing', 'Integration Testing', 'Jenkins', 'Ruby', 'Firebase Cloud Firestore', 'Asana', 'Redis', 'Realm Database', 'MariaDB', 'Database Testing', 'Desktop Application Testing', 'Software Testing', 'Trello', 'GitLab', 'Sanity Testing', 'Zephyr', 'Test Automation Framework', 'Game Testing', 'Test Design', 'LevelDB', 'BrowserStack', 'Regression Testing', 'Oracle Database', 'Postman', 'Cypress', 'Selenium WebDriver', 'Appium', 'Security Testing', 'Katalon Studio']"
Manual Testing,265,"(0.0, 150.0)",2620,1.0,23,77606494.17999992,"['Microsoft Excel', 'Bug Tracking & Reports', 'Test Case Design', 'Test Execution', 'Test Management', 'Test Plan', 'Usability Testing', 'Functional Testing', 'Docker', 'Kubernetes', 'End-to-End Testing', 'Mobile App Testing', 'Web Testing', 'Jira', 'API Testing', 'Integration Testing', 'Manual Testing', 'Asana', 'Database Testing', 'Desktop Application Testing', 'Trello', 'GitLab', 'Sanity Testing', 'Zephyr', 'Test Design', 'Game Testing', 'Regression Testing', 'BrowserStack', 'Postman', 'Appium']"
Data Extraction,1393,"(0.0, 200.0)",14775,1.0,15,83276098.74999982,"['API Integration', 'Data Scraping', 'JavaScript', 'PHP', 'Python', 'C#', 'Data Extraction', 'SQL', 'Google Apps Script', 'Selenium', 'ETL Pipeline', 'Data Integration', 'ETL', 'Web Crawling', 'pandas', 'R', 'Web Scraping', 'Beautiful Soup', 'Scrapy', 'Power Query', 'Talend Open Studio', 'Informatica', 'Puppeteer', 'Web Scraping Framework', 'Selenium WebDriver', 'Web Scraping Plugin']"
Video Game Development,1795,"(0.0, 200.0)",18770,1.0,15,102313003.80999959,"['API Integration', 'JavaScript', 'Java', 'PHP', 'Python', 'Android', 'C#', 'iOS', 'QR & Barcode Scanner', 'Smartphone', 'Tablet', 'C++', 'Linux', 'Chat & Messaging Software', 'TypeScript', 'Dart', 'Hybrid App Development', 'User Authentication', 'Map Integration', 'Unreal Engine', 'HTML5', 'CSS 3', 'Virtual Reality', 'Sports & Recreation', 'C', 'Godot', 'Objective-C', 'Swift', 'Application Security', 'Ages 3+', 'Bluetooth', 'In-App Purchases', 'User Profile Creation', 'Unity', 'Microsoft Windows', 'Kotlin', 'Native App Development', 'Camera', 'Ruby', 'Social Media Account Integration', 'Review or Feedback Collection', 'macOS', 'Puzzle', 'Personal Computer', 'iPadOS', 'Location-Based Service', 'Augmented Reality', 'Game Testing', 'Game Design Document', 'Game Development Bug Fix', 'Mobile Game', 'Casual Game', 'Roblox Studio', 'Lua', 'In-App Search', 'Performance Optimization', 'Video Game', 'Online Multiplayer', 'In-App Advertising', 'Click-to-Call', 'Gaming Console', 'Game Prototype', 'Simulation Game']"
Blockchain & NFT Development,1462,"(0.0, 200.0)",15248,1.0,16,91034661.15999988,"['JavaScript', 'CSS', 'Java', 'PHP', 'Python', 'C#', 'Blockchain Tokenization', 'C++', 'Node.js', 'Rust', 'TypeScript', 'Blockchain Architecture', 'Blockchain Development', 'Blockchain Security', 'Ethereum', 'Cryptography', 'Smart Contract', 'Solidity', 'Golang', 'Kotlin', 'Ruby', 'Crypto Exchange Platform', 'Solana', 'NFT', '3D Avatar', 'Discord Bot Development']"
Crypto Wallet Development,1753,"(0.0, 200.0)",18357,1.0,15,107365813.74999957,"['JavaScript', 'CSS', 'HTML', 'Java', 'PHP', 'Python', 'Android', 'C#', 'iOS', 'C++', 'Rust', 'Linux', 'TypeScript', 'Solidity', 'Golang', 'Microsoft Windows', 'Kotlin', 'Ruby', 'macOS', 'Lua', 'Crypto Wallet Development']"
Desktop Software Development,1212,"(0.0, 200.0)",12650,1.0,16,96069757.57999986,"['JavaScript', 'Java', 'Python', 'Visual Basic for Applications', 'C#', 'MySQL', 'C++', '.NET Framework', 'Prototyping', 'MongoDB', 'PostgreSQL', 'Docker', 'Kubernetes', 'Linux', 'SQLite', 'Microsoft SQL Server', 'C', 'Database Design', 'Objective-C', 'Swift', 'Application Security', 'JetBrains IntelliJ IDEA', 'Git', 'Microsoft Access', 'Microsoft Windows', 'Firebase Realtime Database', 'Azure DevOps', 'Jenkins', 'Desktop Application', 'Firebase Cloud Firestore', 'Bug Fix', 'Redis', 'Realm Database', 'Electron', 'macOS', 'MariaDB', 'Desktop Application Testing', 'GitLab', 'Application Integration', 'LevelDB', 'Apple Xcode', 'Oracle Database', 'Delphi', 'Standalone Application', 'Qt Framework']"
Database Development,1277,"(0.0, 200.0)",13453,1.0,15,96021413.05999997,"['JavaScript', 'PHP', 'Python', 'Visual Basic for Applications', 'C#', 'MySQL', 'Database Development', 'SQL', 'Query Development', 'MongoDB', 'PostgreSQL', 'Database Architecture', 'SQLite', 'Microsoft SQL Server', 'Database Design', 'Oracle PLSQL', 'Transact-SQL', 'ETL', 'Query Analysis', 'R', 'Microsoft Access', 'Database Optimization', 'Database Report', 'Bug Fix', 'Realm Database', 'Database Security', 'MariaDB', 'Data Migration', 'Database Administration', 'Database Integration', 'Claris FileMaker', 'Database Maintenance', 'Oracle Database', 'Performance Optimization']"
Firmware Development,845,"(0.0, 200.0)",8773,1.0,14,55746370.04999995,"['JavaScript', 'Python', 'PLC', 'C++', 'Computer Vision', 'Firmware', 'Internet of Things Software', 'WiFi', 'Embedded System', 'Microcontroller Programming', 'Raspberry Pi', 'C', 'Arduino', 'ESP32', 'Bluetooth', 'FPGA', 'LoRa', 'Arduino Firmware', 'Assembly Language', 'Embedded Application', 'Embedded Linux', 'Energy Optimization', 'Embedded C', 'Raspberry Pi Firmware', 'STM32']"
Knowledge Representation,419,"(0.0, 200.0)",4504,1.0,14,35285365.84999998,"['Java', 'Python', 'Natural Language Processing', 'Neo4j', 'Graph Database']"
Database Administration,348,"(0.0, 200.0)",3271,1.0,23,29019332.41000001,"['Business with 10-99 Employees', 'Business with 1-9 Employees', 'MySQL', 'SQL', 'MongoDB', 'PostgreSQL', 'SQLite', 'Microsoft SQL Server', 'Database Design', 'SQL Server Integration Services', 'Transact-SQL', 'Business with 100-999 Employees', 'ETL', 'Microsoft Access', 'Microsoft Windows PowerShell', 'Neo4j', 'Business with 1000+ Employees', 'Database Optimization', 'Firebase Realtime Database', 'Firebase Cloud Firestore', 'Redis', 'Realm Database', 'MariaDB', 'Data Migration', 'Database Administration', 'Claris FileMaker', 'SAP HANA', 'LevelDB', 'Oracle Database']"
Network Administration,267,"(0.0, 250.0)",2211,1.0,23,26827132.980000008,"['Business with 10-99 Employees', 'Business with 1-9 Employees', 'Network Security', 'Network Administration', 'VPN', 'Network Equipment', 'Network Engineering', 'Network Monitoring', 'Cisco Meraki', 'Cisco Prime', 'Cisco WLC', 'Linux', 'Network Design', 'MikroTik', 'Business with 100-999 Employees', 'VoIP', 'Ubuntu', 'Business with 1000+ Employees', 'Microsoft Windows', 'Ubiquiti', 'macOS', 'Fortinet', 'Zabbix', 'VMWare', 'Virtual LAN']"
AI Data Annotation & Labeling,10,"(0.0, 75.0)",111,1.0,7,2073779.37,"['OpenCV', 'Data Annotation', 'Data Labeling', 'Video Annotation', 'Data Segmentation']"
Network Security,63,"(0.0, 200.0)",544,1.0,17,1734900.4199999997,"['Encryption', 'Network Security', 'Firewall', 'Internet Protocol Security', 'Intrusion Prevention System', 'VPN', 'Intrusion Detection System', 'System Hardening', 'Web Proxy']"
Emerging Tech,36,"(0.0, 120.0)",329,1.0,20,16105560.409999998,"['Business Analysis', 'Robotics', 'Web3', 'DeFi', 'Distributed Ledger Technology', 'Research & Development', 'Metaverse', 'Internet of Things', 'Robotic Process Automation', 'FinTech', 'Tokenomics']"
Crypto Coins & Tokens,13,"(0.0, 120.0)",142,1.0,13,101238.46,"['Ethereum', 'Smart Contract', 'Bitcoin']"
